codigo,nombre,departamento,tipo,ruta
4JC_O,JUANCHACO,Valle del Cauca,aero_origen,
7FU_O,LA ESCONDIDA,Meta,aero_origen,
7GC_O,SAN FELIPE DEL PAUTO,Casanare,aero_origen,
7GD_O,VELASQUEZ,Boyacá,aero_origen,
7GF_O,LA UNION,Casanare,aero_origen,
7GG_O,LA ILUSION,Casanare,aero_origen,
7GH_O,LA VENTUROSA,Vichada,aero_origen,
7GL_O,LA JAGUA,Cesar,aero_origen,
7GS_O,EL ENCANTO,Vichada,aero_origen,
7GV_O,REPRESA DE LAS CANARIAS,Casanare,aero_origen,
7GY_O,LAS ACACIAS,Cundinamarca,aero_origen,
7GZ_O,COROZITO,Casanare,aero_origen,
7HB_O,HOTEL SAN DIEGO,Meta,aero_origen,
7HD_O,BOSQUES DE LA PRIMAVERA,Vichada,aero_origen,
7HE_O,GUACHARACAS (COLOMBAIMA),Cundinamarca,aero_origen,
7HF_O,GAVILAN DE LA PASCUA,Vichada,aero_origen,
7HG_O,DOROTEA B1,Casanare,aero_origen,
7HJ_O,MACOLLA,Casanare,aero_origen,
7HM_O,LLANO CAUCHO,Vichada,aero_origen,
7HN_O,ARMENIA,Casanare,aero_origen,
7HT_O,MANARE,Casanare,aero_origen,
7HV_O,LA BENDICION,Vichada,aero_origen,
7HX_O,PIVIJAY,Vichada,aero_origen,
7IA_O,MURIBA,Casanare,aero_origen,
7ID_O,LA MACOYA,Casanare,aero_origen,
7IF_O,LOS VENADOS,Vichada,aero_origen,
7IH_O,LOS KIOSCOS,Meta,aero_origen,
7IJ_O,LA LORENA,Casanare,aero_origen,
7NQ_O,EL PARAISO,Vichada,aero_origen,
7NS_O,JAGUAR,Meta,aero_origen,
7NT_O,OCELOTE,Meta,aero_origen,
9AB_O,GETSEMANI,Casanare,aero_origen,
9AC_O,MARIA ALEJANDRA,Casanare,aero_origen,
9AI_O,CAÑO GARZA,Casanare,aero_origen,
9AJ_O,SAN LUIS DE PACA,Vaupés,aero_origen,
9AK_O,CANANARI,Vaupés,aero_origen,
9AM_O,SAN FERNANDO,Casanare,aero_origen,
9AN_O,MARAREY,Casanare,aero_origen,
9AO_O,SANTA CLARA,Casanare,aero_origen,
9AR_O,SAN PABLO,Vaupés,aero_origen,
9AS_O,SIRENAS,Casanare,aero_origen,
9AT_O,COROCITO,Meta,aero_origen,
9AZ_O,REMACHE SUR,Casanare,aero_origen,
9BB_O,SAN MIGUEL,Meta,aero_origen,
9BE_O,LAS VEGAS,Casanare,aero_origen,
9BF_O,LA FRANCIA,Cesar,aero_origen,
9BH_O,GUAFITAS,Casanare,aero_origen,
9BI_O,SAN FELIPE,Casanare,aero_origen,
9BO_O,VENECIA DE GUANAPALO,Casanare,aero_origen,
9BS_O,LA COMARCA,Casanare,aero_origen,
9BW_O,LA FAZENDA,Meta,aero_origen,
9BY_O,SAN EDUARDO,Casanare,aero_origen,
9BZ_O,RIOSUCIO,Chocó,aero_origen,
9CA_O,LAS AGUILAS -CA,Valle del Cauca,aero_origen,
9CB_O,CAMARUCOS,Casanare,aero_origen,
9CC_O,EL TOTUMO,Casanare,aero_origen,
9CD_O,VARSOVIA,Casanare,aero_origen,
9CE_O,LA HERMOSA,Casanare,aero_origen,
9CF_O,SAN ESTEBAN,Casanare,aero_origen,
9CG_O,SAN JOSE DEL ARIPORO,Casanare,aero_origen,
9CI_O,LA CAIMANA,Casanare,aero_origen,
9CJ_O,EMAUS,Casanare,aero_origen,
9CL_O,LA VENTUROSA,Casanare,aero_origen,
9CU_O,COROCORA,Casanare,aero_origen,
9DE_O,LUNA PARK,Vichada,aero_origen,
9DI_O,SAN FELIPE,Guainía,aero_origen,
9LI_O,SAN SEBASTIAN,Meta,aero_origen,
